id,date,stadium,season,tournament,round,home_team,away_team
143890,2016-10-30 01:06:00+00:00,Estadio Miguel Hidalgo,2016,Apertura,15,Pachuca,Atlas
169178,2019-09-30 00:00:00+00:00,Estadio Luis de la Fuente,2019,Apertura,12,Veracruz,Toluca
143833,2016-09-17 21:00:00+00:00,Estadio Nemesio Diez,2016,Apertura,9,Toluca,Guadalajara Chivas
1031372,2023-10-08 01:00:00+00:00,Estadio Hidalgo,2023,Apertura,12,Pachuca,Tigres UANL
1145601,2023-12-10 02:00:00+00:00,Estadio Azteca,2023,Apertura,Semi-finals,Club America,Atletico San Luis
864170,2022-08-18 02:05:00+00:00,Estadio Azteca,2022,Apertura,9,Cruz Azul,Club Tijuana
143255,2018-05-04 00:30:00+00:00,Estadio Universitario de Nuevo Leon (San Nicolas de los Garza),2017,Clausura,Quarter-finals,Tigres UANL,Santos Laguna
1150348,2024-04-20 03:10:00+00:00,Estadio Caliente,2023,Clausura,16,Club Tijuana,Puebla
1150221,2024-01-20 03:00:00+00:00,Estadio Alfonso Lastras Ramirez,2023,Clausura,2,Atletico San Luis,U.N.A.M. - Pumas
143851,2016-09-24 22:00:00+00:00,Estadio Victor Manuel Reyna,2016,Apertura,11,Jaguares de Chiapas,Necaxa
143383,2018-03-31 23:00:00+00:00,Estadio Universitario BUAP (Puebla),2017,Clausura,13,Lobos Buap,Toluca
652942,2021-04-25 02:10:00+00:00,Estadio Universitario de Nuevo Leon,2020,Clausura,16,Tigres UANL,Monterrey
652917,2021-04-05 22:00:00+00:00,Estadio AKRON,2020,Clausura,13,Guadalajara Chivas,Santos Laguna
143402,2018-04-15 00:00:00+00:00,Estadio Universitario de Nuevo Leon (San Nicolas de los Garza),2017,Clausura,15,Tigres UANL,Cruz Azul
143510,2017-10-18 02:00:00+00:00,Estadio Olimpico Universitario,2017,Apertura,10,U.N.A.M. - Pumas,Leon
143537,2017-10-14 22:00:00+00:00,Estadio Azul,2017,Apertura,13,Cruz Azul,Club America
1150329,2024-04-06 03:10:00+00:00,Estadio Caliente,2023,Clausura,14,Club Tijuana,Necaxa
120477,2018-11-25 22:00:00+00:00,Estadio Universitario BUAP,2018,Apertura,17,Lobos Buap,Toluca
143879,2016-10-23 00:00:00+00:00,Estadio La Corregidora,2016,Apertura,14,Club Queretaro,Club America
721788,2021-09-12 00:00:00+00:00,Estadio Universitario de Nuevo Leon,2021,Apertura,8,Tigres UANL,Leon
1031410,2023-11-05 22:00:00+00:00,Estadio Victoria,2023,Apertura,16,Necaxa,Mazatlan
1206012,2024-07-13 01:00:00+00:00,Estadio Ciudad de los Deportes,2024,Apertura,2,Club America,Club Queretaro
816438,2022-04-09 00:00:00+00:00,Estadio Cuauhtemoc,2021,Clausura,13,Puebla,U.N.A.M. - Pumas
120265,2019-03-17 01:00:00+00:00,Estadio Akron,2018,Clausura,11,Guadalajara Chivas,Club America
652895,2021-03-14 01:00:00+00:00,Estadio Universitario de Nuevo Leon,2020,Clausura,11,Tigres UANL,Mazatlan
1031371,2023-10-07 23:00:00+00:00,Estadio BBVA,2023,Apertura,12,Monterrey,FC Juarez
120298,2019-04-20 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Clausura,15,Veracruz,Monterrey
143434,2017-07-23 23:49:00+00:00,Estadio Luis Pirata Fuente,2017,Apertura,1,Veracruz,Necaxa
143904,2016-11-19 03:00:00+00:00,Estadio Luis Pirata Fuente,2016,Apertura,17,Veracruz,Club Tijuana
967073,2022-10-21 02:06:00+00:00,Estadio Hidalgo,2022,Apertura,Semi-finals,Pachuca,Monterrey
864154,2022-08-07 17:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,7,Toluca,Club Tijuana
1150311,2024-03-16 03:00:00+00:00,Estadio Caliente,2023,Clausura,12,Club Tijuana,Santos Laguna
1150238,2024-01-25 01:00:00+00:00,Estadio Alfonso Lastras Ramirez,2023,Clausura,4,Atletico San Luis,Tigres UANL
143570,2017-11-18 01:00:00+00:00,Estadio Cuauhtemoc,2017,Apertura,17,Puebla,Lobos Buap
864143,2022-07-31 02:05:00+00:00,Estadio Cuauhtemoc,2022,Apertura,6,Puebla,Atletico San Luis
652930,2021-04-17 02:30:00+00:00,Estadio de Mazatlan,2020,Clausura,15,Mazatlan,Atlas
721835,2021-10-17 02:00:00+00:00,Estadio Azteca,2021,Apertura,13,Cruz Azul,Tigres UANL
120386,2018-08-26 21:00:00+00:00,Estadio Nemesio Diez,2018,Apertura,7,Toluca,Leon
864144,2022-07-31 02:05:00+00:00,Estadio Caliente,2022,Apertura,6,Club Tijuana,Mazatlan
120359,2018-08-12 23:00:00+00:00,Estadio Akron,2018,Apertura,4,Guadalajara Chivas,Santos Laguna
120403,2018-09-16 17:00:00+00:00,Estadio Olimpico Universitario,2018,Apertura,9,U.N.A.M. - Pumas,Lobos Buap
293468,2020-02-16 03:00:00+00:00,Estadio AKRON,2019,Clausura,6,Guadalajara Chivas,Cruz Azul
569713,2020-08-29 00:30:00+00:00,Estadio Cuauhtemoc,2020,Apertura,7,Puebla,Toluca
1150332,2024-04-07 01:00:00+00:00,Estadio Universitario,2023,Clausura,14,Tigres UANL,Pachuca
1206059,2024-09-14 02:10:00+00:00,Estadio Olimpico Benito Juarez,2024,Apertura,7,FC Juarez,Mazatlan
143480,2017-08-26 02:00:00+00:00,Estadio Caliente,2017,Apertura,7,Club Tijuana,Pachuca
648845,2020-12-03 03:05:00+00:00,Estadio AKRON,2020,Apertura,Semi-finals,Guadalajara Chivas,Leon
864119,2022-07-18 00:00:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,3,Tigres UANL,Club Tijuana
816336,2022-01-10 00:00:00+00:00,Estadio AKRON,2021,Clausura,1,Guadalajara Chivas,Mazatlan
120280,2019-04-06 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Clausura,13,Veracruz,Atlas
169240,2019-11-24 18:00:00+00:00,Estadio Nemesio Diez,2019,Apertura,19,Toluca,Santos Laguna
169208,2019-10-30 01:00:00+00:00,Estadio Alfonso Lastras Ramirez,2019,Apertura,16,Atletico San Luis,Club America
1206050,2024-08-31 03:05:00+00:00,Estadio Caliente,2024,Apertura,6,Club Tijuana,Leon
143623,2017-01-15 22:00:00+00:00,Estadio Nemesio Diez,2016,Clausura,2,Toluca,Club America
1031295,2023-07-15 01:00:00+00:00,Estadio El Encanto,2023,Apertura,3,Mazatlan,Monterrey
569709,2020-08-23 02:00:00+00:00,Estadio Azteca,2020,Apertura,6,Club America,Monterrey
143436,2017-07-29 02:00:00+00:00,Estadio Jalisco,2017,Apertura,2,Atlas,U.N.A.M. - Pumas
169080,2019-07-27 00:00:00+00:00,Estadio Generalisimo Jose Maria Morelos y Pavon,2019,Apertura,2,Monarcas,Atlas
120365,2018-08-19 02:00:00+00:00,Estadio Victoria,2018,Apertura,5,Necaxa,Puebla
1206077,2024-09-21 23:00:00+00:00,Estadio Leon,2024,Apertura,9,Leon,Atletico San Luis
652852,2021-02-14 03:00:00+00:00,Estadio Azteca,2020,Clausura,6,Club America,Club Queretaro
125289,2019-05-10 02:05:00+00:00,Estadio Azteca,2018,Clausura,Quarter-finals,Club America,Cruz Azul
974431,2023-04-14 03:05:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Clausura,15,Atletico San Luis,FC Juarez
143784,2016-07-31 17:00:00+00:00,Estadio Olimpico Universitario,2016,Apertura,3,U.N.A.M. - Pumas,Leon
974367,2023-02-24 02:05:00+00:00,Estadio Nuevo Corona,2022,Clausura,7,Santos Laguna,Toluca
293434,2020-01-19 22:00:00+00:00,Estadio La Corregidora,2019,Clausura,2,Club Queretaro,Club Tijuana
1150276,2024-02-24 03:10:00+00:00,Estadio Olimpico Benito Juarez,2023,Clausura,8,FC Juarez,Monterrey
169200,2019-10-26 22:00:00+00:00,Estadio La Corregidora,2019,Apertura,15,Club Queretaro,U.N.A.M. - Pumas
143360,2018-03-04 03:06:00+00:00,Estadio AKRON (Zapopan),2017,Clausura,10,Guadalajara Chivas,Club America
652849,2021-02-13 03:06:00+00:00,Estadio Caliente,2020,Clausura,6,Club Tijuana,Leon
169137,2019-09-01 00:00:00+00:00,Estadio Universitario de Nuevo Leon,2019,Apertura,8,Tigres UANL,Leon
1031283,2023-07-04 02:00:00+00:00,Estadio Leon,2023,Apertura,1,Leon,Guadalajara Chivas
143859,2016-10-01 02:00:00+00:00,Estadio Caliente,2016,Apertura,12,Club Tijuana,Atlas
569728,2020-09-05 02:06:00+00:00,Estadio Caliente,2020,Apertura,8,Club Tijuana,Monterrey
169230,2019-11-10 03:00:00+00:00,Estadio Leon,2019,Apertura,18,Leon,Toluca
120241,2019-02-24 03:00:00+00:00,Estadio Miguel Hidalgo,2018,Clausura,8,Pachuca,Guadalajara Chivas
569745,2020-09-13 17:00:00+00:00,Estadio Olimpico de Universitario,2020,Apertura,10,U.N.A.M. - Pumas,Atletico San Luis
120178,2019-01-06 18:00:00+00:00,Estadio Olimpico Universitario,2018,Clausura,1,U.N.A.M. - Pumas,Veracruz
814001,2021-12-02 03:00:00+00:00,Estadio Universitario de Nuevo Leon,2021,Apertura,Semi-finals,Tigres UANL,Leon
862942,2022-05-30 01:10:00+00:00,Estadio Hidalgo,2021,Clausura,Finals,Pachuca,Atlas
1150356,2024-04-27 03:10:00+00:00,Estadio Corregidora,2023,Clausura,17,Club Queretaro,U.N.A.M. - Pumas
120420,2018-09-30 02:06:00+00:00,Estadio BBVA Bancomer,2018,Apertura,11,Monterrey,Club Tijuana
143567,2017-11-05 18:00:00+00:00,Estadio Olimpico Universitario,2017,Apertura,16,U.N.A.M. - Pumas,Santos Laguna
569741,2020-09-12 02:30:00+00:00,Estadio Olimpico Benito Juarez,2020,Apertura,10,FC Juarez,Puebla
120174,2019-01-05 23:00:00+00:00,Estadio La Corregidora,2018,Clausura,1,Club Queretaro,Atlas
