id,referee,date,stadium,season,tournament,round,home_team,away_team,home_goals,away_goals,result
864142,A. Escobedo,2022-07-31 02:05:00,Estadio AKRON,2022,Apertura,6,Guadalajara Chivas,Pachuca,0,0,draw
864144,D. Quintero,2022-07-31 02:05:00,Estadio Caliente,2022,Apertura,6,Club Tijuana,Mazatlán,2,0,home
864143,M. Ortíz,2022-07-31 02:05:00,Estadio Cuauhtémoc,2022,Apertura,6,Puebla,Atletico San Luis,0,0,draw
864145,D. Montaño,2022-07-31 17:00:00,Estadio Olímpico de Universitario,2022,Apertura,6,U.N.A.M. - Pumas,Monterrey,1,1,draw
864146,C. Ramos,2022-08-01 00:05:00,Estadio Nuevo Corona,2022,Apertura,6,Santos Laguna,Atlas,1,0,home
864147,Ó. Macías,2022-08-01 02:05:00,Estadio León,2022,Apertura,6,Leon,Club America,3,2,home
864229,V. Cáceres,2022-08-03 01:00:00,Estadio Nemesio Díez,2022,Apertura,16,Toluca,Puebla,1,1,draw
864230,Ó. Macías,2022-08-04 00:00:00,Estadio Olímpico Benito Juárez,2022,Apertura,16,FC Juarez,Atletico San Luis,1,1,draw
864148,F. Guerrero,2022-08-05 02:00:00,Estadio Jalisco,2022,Apertura,7,Atlas,Club Queretaro,3,1,home
864150,J. Camacho,2022-08-06 02:05:00,Estadio de Mazatlán,2022,Apertura,7,Mazatlán,Guadalajara Chivas,2,1,home
864151,M. Ortíz,2022-08-07 00:05:00,Estadio BBVA,2022,Apertura,7,Monterrey,Leon,5,1,home
864153,Ó. Macías,2022-08-07 02:05:00,Estadio Nuevo Corona,2022,Apertura,7,Santos Laguna,Cruz Azul,4,0,home
864154,C. Ramos,2022-08-07 17:00:00,Estadio Nemesio Díez,2022,Apertura,7,Toluca,Club Tijuana,3,1,home
864155,E. Galván,2022-08-07 21:00:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,7,Atletico San Luis,Necaxa,1,2,away
864156,D. Quintero,2022-08-07 23:05:00,Estadio Hidalgo,2022,Apertura,7,Pachuca,Tigres UANL,2,0,home
864152,L. Santander,2022-08-08 01:05:00,Estadio Azteca,2022,Apertura,7,Club America,FC Juarez,2,1,home
864157,E. Miranda,2022-08-12 02:00:00,Estadio La Corregidora,2022,Apertura,8,Club Queretaro,Atletico San Luis,1,1,draw
864158,G. Pacheco,2022-08-13 02:00:00,Estadio Victoria de Aguascalientes,2022,Apertura,8,Necaxa,Monterrey,1,2,away
864159,L. Santander,2022-08-13 02:05:00,Estadio Caliente,2022,Apertura,8,Club Tijuana,Puebla,3,3,draw
864161,E. Galván,2022-08-13 22:00:00,Estadio León,2022,Apertura,8,Leon,Mazatlán,0,3,away
864162,A. Escobedo,2022-08-14 00:05:00,Estadio Olímpico de Universitario,2022,Apertura,8,U.N.A.M. - Pumas,Club America,0,3,away
864163,M. Ortíz,2022-08-14 02:05:00,Estadio AKRON,2022,Apertura,8,Guadalajara Chivas,Atlas,1,1,draw
